ip.src;ip.dst;SNI
10.0.2.16;162.159.128.233;discord.com
10.0.2.16;162.159.130.232;dl.discordapp.net
10.0.2.16;162.159.130.234;gateway.discord.gg
10.0.2.16;162.159.129.233;cdn.discordapp.com
10.0.2.16;162.159.130.232;media.discordapp.net
10.0.2.16;162.159.129.232;images-ext-1.discordapp.net
10.0.2.16;162.159.134.232;images-ext-2.discordapp.net
10.0.2.16;162.159.134.232;dl.discordapp.net
10.0.2.16;162.159.130.233;cdn.discordapp.com
10.0.2.16;162.159.134.233;cdn.discordapp.com
10.0.2.16;162.159.130.232;images-ext-1.discordapp.net
10.0.2.16;162.159.133.232;media.discordapp.net
10.0.2.16;162.159.133.232;dl.discordapp.net
10.0.2.16;162.159.136.234;gateway.discord.gg
10.0.2.16;162.159.136.232;discord.com
10.0.2.16;162.159.134.232;images-ext-1.discordapp.net
10.0.2.16;162.159.128.232;images-ext-2.discordapp.net
10.0.2.16;162.159.128.232;dl.discordapp.net
10.0.2.16;162.159.137.232;discord.com
10.0.2.16;162.159.129.232;media.discordapp.net
